Label	ImageSource
fr.yahoo.com	C:\Users\Akutsu\source\repos\PhishProtector\PhishExplorer\Screens\fr.yahoo.com\2023-03-11_fr.yahoo.com.png
fr.yahoo.com	C:\Users\Akutsu\source\repos\PhishProtector\PhishExplorer\Screens\fr.yahoo.com\2023-03-19_fr.yahoo.com.png
store.steampowered.com	C:\Users\Akutsu\source\repos\PhishProtector\PhishExplorer\Screens\store.steampowered.com\2023-03-11_store.steampowered.com.png
store.steampowered.com	C:\Users\Akutsu\source\repos\PhishProtector\PhishExplorer\Screens\store.steampowered.com\2023-03-19_store.steampowered.com.png
www.amazon.fr	C:\Users\Akutsu\source\repos\PhishProtector\PhishExplorer\Screens\www.amazon.fr\2023-03-11_www.amazon.fr.png
www.amazon.fr	C:\Users\Akutsu\source\repos\PhishProtector\PhishExplorer\Screens\www.amazon.fr\2023-03-19_www.amazon.fr.png
www.apple.com	C:\Users\Akutsu\source\repos\PhishProtector\PhishExplorer\Screens\www.apple.com\2023-03-11_www.apple.com.png
www.apple.com	C:\Users\Akutsu\source\repos\PhishProtector\PhishExplorer\Screens\www.apple.com\2023-03-19_www.apple.com.png
www.ebay.fr	C:\Users\Akutsu\source\repos\PhishProtector\PhishExplorer\Screens\www.ebay.fr\2023-03-11_www.ebay.fr.png
www.ebay.fr	C:\Users\Akutsu\source\repos\PhishProtector\PhishExplorer\Screens\www.ebay.fr\2023-03-19_www.ebay.fr.png
www.facebook.com	C:\Users\Akutsu\source\repos\PhishProtector\PhishExplorer\Screens\www.facebook.com\2023-03-11_www.facebook.com.png
www.facebook.com	C:\Users\Akutsu\source\repos\PhishProtector\PhishExplorer\Screens\www.facebook.com\2023-03-19_www.facebook.com.png
www.google.com	C:\Users\Akutsu\source\repos\PhishProtector\PhishExplorer\Screens\www.google.com\2023-03-11_www.google.com.png
www.google.com	C:\Users\Akutsu\source\repos\PhishProtector\PhishExplorer\Screens\www.google.com\2023-03-19_www.google.com.png
www.microsoft.com	C:\Users\Akutsu\source\repos\PhishProtector\PhishExplorer\Screens\www.microsoft.com\2023-03-11_www.microsoft.com.png
www.microsoft.com	C:\Users\Akutsu\source\repos\PhishProtector\PhishExplorer\Screens\www.microsoft.com\2023-03-19_www.microsoft.com.png
www.netflix.com	C:\Users\Akutsu\source\repos\PhishProtector\PhishExplorer\Screens\www.netflix.com\2023-03-11_www.netflix.com.png
www.netflix.com	C:\Users\Akutsu\source\repos\PhishProtector\PhishExplorer\Screens\www.netflix.com\2023-03-19_www.netflix.com.png
www.paypal.com	C:\Users\Akutsu\source\repos\PhishProtector\PhishExplorer\Screens\www.paypal.com\2023-03-11_www.paypal.com.png
www.paypal.com	C:\Users\Akutsu\source\repos\PhishProtector\PhishExplorer\Screens\www.paypal.com\2023-03-19_www.paypal.com.png
